Frame,Vehicles,Lane1,Lane2,Lane3,Entered,Exited,Density,Signal
0,15,3,8,4,0,0,MEDIUM,GREEN (40 sec)
1,15,3,8,4,0,0,MEDIUM,GREEN (40 sec)
2,16,3,8,5,0,0,MEDIUM,GREEN (40 sec)
3,17,3,9,5,0,0,MEDIUM,GREEN (40 sec)
4,16,3,8,5,0,0,MEDIUM,GREEN (40 sec)
5,16,3,8,5,0,0,MEDIUM,GREEN (40 sec)
6,17,3,8,6,0,0,MEDIUM,GREEN (40 sec)
7,17,4,7,6,0,0,MEDIUM,GREEN (40 sec)
8,17,4,7,6,0,0,MEDIUM,GREEN (40 sec)
9,17,4,7,6,0,1,MEDIUM,GREEN (40 sec)
10,18,4,8,6,0,1,HIGH,GREEN (60 sec)
11,16,4,7,5,0,1,MEDIUM,GREEN (40 sec)
12,17,4,7,6,0,1,MEDIUM,GREEN (40 sec)
13,17,4,7,6,0,1,MEDIUM,GREEN (40 sec)
14,15,4,7,4,0,1,MEDIUM,GREEN (40 sec)
15,15,4,7,4,0,1,MEDIUM,GREEN (40 sec)
16,15,4,7,4,0,1,MEDIUM,GREEN (40 sec)
17,17,4,7,6,0,1,MEDIUM,GREEN (40 sec)
18,18,4,7,7,0,1,HIGH,GREEN (60 sec)
19,19,4,7,8,0,1,HIGH,GREEN (60 sec)
20,19,4,7,8,0,1,HIGH,GREEN (60 sec)
21,20,4,8,8,0,2,HIGH,GREEN (60 sec)
22,19,4,8,7,0,3,HIGH,GREEN (60 sec)
23,18,3,8,7,0,3,HIGH,GREEN (60 sec)
24,19,3,9,7,0,3,HIGH,GREEN (60 sec)
25,19,3,9,7,0,3,HIGH,GREEN (60 sec)
26,19,3,9,7,0,3,HIGH,GREEN (60 sec)
27,18,3,8,7,0,3,HIGH,GREEN (60 sec)
28,17,3,8,6,0,3,MEDIUM,GREEN (40 sec)
29,17,3,8,6,0,3,MEDIUM,GREEN (40 sec)
30,17,3,8,6,0,3,MEDIUM,GREEN (40 sec)
31,17,3,8,6,0,3,MEDIUM,GREEN (40 sec)
32,18,3,8,7,0,4,HIGH,GREEN (60 sec)
33,17,3,8,6,0,4,MEDIUM,GREEN (40 sec)
34,17,3,8,6,0,4,MEDIUM,GREEN (40 sec)
35,19,4,8,7,0,4,HIGH,GREEN (60 sec)
36,17,4,7,6,0,4,MEDIUM,GREEN (40 sec)
37,19,4,9,6,0,4,HIGH,GREEN (60 sec)
38,17,4,7,6,0,4,MEDIUM,GREEN (40 sec)
39,19,5,7,7,0,4,HIGH,GREEN (60 sec)
40,19,5,7,7,0,4,HIGH,GREEN (60 sec)
41,18,5,7,6,0,4,HIGH,GREEN (60 sec)
42,19,5,8,6,0,5,HIGH,GREEN (60 sec)
43,19,5,8,6,0,5,HIGH,GREEN (60 sec)
44,19,5,8,6,0,5,HIGH,GREEN (60 sec)
45,19,5,8,6,0,5,HIGH,GREEN (60 sec)
